Core Competency,Core Competency Description,Score,Proficiency Level,Anchor Value
Digital engagement,"Identifying and using technology (including hardware and software) confidently, creatively and critically.",1,Basic,"Name and identify the purpose of familiar digital devices (e.g. mobile phone, computer, tablet)"
Digital engagement,"Identifying and using technology (including hardware and software) confidently, creatively and critically.",2,Basic,Send a short and simple reply to an email communication using a digital device
Digital engagement,"Identifying and using technology (including hardware and software) confidently, creatively and critically.",3,Basic,Enter information into a database
Digital engagement,"Identifying and using technology (including hardware and software) confidently, creatively and critically.",4,Intermediate,"Recognise different ways to connect to the internet (e.g. Bluetooth, Wi-Fi, hotspot)"
Digital engagement,"Identifying and using technology (including hardware and software) confidently, creatively and critically.",5,Intermediate,Build and maintain an effective online profile for career management
Digital engagement,"Identifying and using technology (including hardware and software) confidently, creatively and critically.",6,Intermediate,"Use software on a portable device to document a building inspection by recording measurements, checking compliance and uploading photos"
Digital engagement,"Identifying and using technology (including hardware and software) confidently, creatively and critically.",7,Intermediate,Write software for keeping track of items in an inventory
Digital engagement,"Identifying and using technology (including hardware and software) confidently, creatively and critically.",8,High,"Use Enterprise Resource Planning software to monitor transactional data from multiple sources including accounting, procurement and human resources and visualise this data for a company's strategic plan"
Digital engagement,"Identifying and using technology (including hardware and software) confidently, creatively and critically.",9,High,Set up a new computer system for a large multinational company
Digital engagement,"Identifying and using technology (including hardware and software) confidently, creatively and critically.",10,High,"Develop new ways of guaranteeing the trustworthiness of transactions on decentralised, cloud based, distributed transactional systems"
Initiative and innovation,"Taking on responsibilities and challenges, being able to start up and carry out projects and generating options to cope with changes.",1,Basic,Ask for help when unsure what to do next
Initiative and innovation,"Taking on responsibilities and challenges, being able to start up and carry out projects and generating options to cope with changes.",2,Basic,Support the adoption of new ideas that improve a work process
Initiative and innovation,"Taking on responsibilities and challenges, being able to start up and carry out projects and generating options to cope with changes.",3,Basic,See how a window display is promoting sales and decide to create a similar display at the back of the store to sell another product
Initiative and innovation,"Taking on responsibilities and challenges, being able to start up and carry out projects and generating options to cope with changes.",4,Intermediate,Continuously and systematically look for ways to improve your performance at work
Initiative and innovation,"Taking on responsibilities and challenges, being able to start up and carry out projects and generating options to cope with changes.",5,Intermediate,Confer with co-workers to coordinate work activities
Initiative and innovation,"Taking on responsibilities and challenges, being able to start up and carry out projects and generating options to cope with changes.",6,Intermediate,Find a more efficient way to produce end of month reports
Initiative and innovation,"Taking on responsibilities and challenges, being able to start up and carry out projects and generating options to cope with changes.",7,Intermediate,Coordinate sales campaigns
Initiative and innovation,"Taking on responsibilities and challenges, being able to start up and carry out projects and generating options to cope with changes.",8,High,Negotiate a price and sales terms then prepare a contract for a house
Initiative and innovation,"Taking on responsibilities and challenges, being able to start up and carry out projects and generating options to cope with changes.",9,High,Collaborate with people from a range of backgrounds to prepare and deliver an original piece of work
Initiative and innovation,"Taking on responsibilities and challenges, being able to start up and carry out projects and generating options to cope with changes.",10,High,Start a company that develops new technology
Learning,Understanding the implications of new information for both current and future problem-solving and decision-making.,1,Basic,Take a different route to work when a road is closed
Learning,Understanding the implications of new information for both current and future problem-solving and decision-making.,2,Basic,Notice that a new flavour of ice-cream has been introduced and sell it to customers
Learning,Understanding the implications of new information for both current and future problem-solving and decision-making.,3,Basic,Think about the implications of a newspaper article for job opportunities
Learning,Understanding the implications of new information for both current and future problem-solving and decision-making.,4,Intermediate,Learn how to operate new machinery safely and efficiently
Learning,Understanding the implications of new information for both current and future problem-solving and decision-making.,5,Intermediate,"Learn a new filing system that groups documents by type, security classification, subject and date"
Learning,Understanding the implications of new information for both current and future problem-solving and decision-making.,6,Intermediate,Determine the impact of new menu changes on a restaurant's purchasing requirements
Learning,Understanding the implications of new information for both current and future problem-solving and decision-making.,7,Intermediate,Effectively apply change management techniques while managing a diverse team
Learning,Understanding the implications of new information for both current and future problem-solving and decision-making.,8,High,Develop and implement a new business strategy based on changing market conditions
Learning,Understanding the implications of new information for both current and future problem-solving and decision-making.,9,High,Identify the implications of a new scientific theory for product design
Learning,Understanding the implications of new information for both current and future problem-solving and decision-making.,10,High,Apply synthetic organic chemistry principles to design and synthesise functional liquid crystals for molecular electronics
Numeracy,Using mathematics to solve problems and interpreting mathematical information appropriately.,1,Basic,Identify the numerical position of items on a shelf from left to right
Numeracy,Using mathematics to solve problems and interpreting mathematical information appropriately.,2,Basic,Check the weight and length of a product against a job ticket
