Specialist Task,Specialist Cluster,Cluster Family,Skill Statement
"Advise others on farming or forestry operations, regulations or equipment",Direct or advise on agricultural matters,Agriculture and animals,"Provide advice about managing farms and forests, such as compliance with government regulations and guidelines or industry standards; planting, harvesting, or managing healthy crops; maintaining healthy livestock; selecting and evaluating equipment; and ensuring safe operations."
"Estimate labour or resource requirements for forestry, fishing or agricultural operations",Direct or advise on agricultural matters,Agriculture and animals,"Calculate or estimate labour, equipment, and resource needs for forestry, fishing, or agricultural operations using available data. Estimate personnel requirements, equipment usage, material quantities, and associated costs to ensure efficient and effective resource allocation based on factors such as market conditions, seasonal conditions, and scope of operations. Consider factors such as resource availability and staff qualifications or technical expertise."
Promote agricultural or hunting activities,Direct or advise on agricultural matters,Agriculture and animals,"Raise awareness of agricultural practices and activities or safe and ethical hunting and trapping by providing information about activities, sustainable practices, or advocating for agriculture or hunting and trapping practices in contexts such as community or educational events."
Develop agricultural methods,Manage agricultural processes or tasks,Agriculture and animals,"Develop or design new or improved agricultural methods that ensure or improve factors such as sustainability, quality, productivity, or resource efficiency in an agricultural or land management context. This may include developing or modifying techniques or incorporating methods or insights from other fields of study. Ensure that methods are robust, adaptable, and aligned with analytical goals and industry best practices."
Evaluate quality or condition of plants or crops,Manage agricultural processes or tasks,Agriculture and animals,"Judge the physical quality, health and condition of plants or crops through inspections and tests of the plants, crops, and growing environment. Utilise technical knowledge, and appropriate techniques or tools to determine the presence of disease, stress, growth issues, damage or undesirable traits, and the underlying cause such as pest infestations, nutrient deficiencies, or environmental stressors."
Identify plant species and features,Manage agricultural processes or tasks,Agriculture and animals,"Correctly identify species of plants and their features according to established taxonomies. Use technical knowledge, suitable reference guides and understanding of plant characteristics such as morphology, texture, and shape. This may involve using sensory evaluation, observation, or undertaking testing or analysis."
Inspect agricultural products or produce,Manage agricultural processes or tasks,Agriculture and animals,"Inspect agricultural products or produce and their packing or storage to ensure compliance with standards or regulations, assess their quality or safety, or detect issues, defects, or damage. This may involve sensory evaluation or undertaking testing or analysis. Utilise technical knowledge, tools, and equipment, and undertake inspection in accordance with standard procedures and protocols."
"Perform manual agricultural, aquacultural or horticultural tasks",Manage agricultural processes or tasks,Agriculture and animals,"Engage in manual tasks to achieve outcomes in agriculture, aquaculture, or horticulture. Tasks include but are not limited to lifting, fumigation, planting, pollination, harvesting, weeding, feeding, or fertilising. This may also include maintaining equipment and undertaking minor repair. Align with health and safety standards, biosecurity regulations and other relevant regulations."
"Plan and manage agricultural, fishery or forestry operations",Manage agricultural processes or tasks,Agriculture and animals,"Undertake the strategic and practical planning and management of a broad range of activities to support forestry, fishery or agricultural operations such as crop production, animal breeding and management, fire prevention and management, pest and weed control and harvesting. Develop and implement operational plans, manage resources, timeframes, stakeholders, supervise personnel, and monitor production processes. Ensure compliance with regulations, promote safety practices, and optimise productivity and efficiency."
Prepare land for agricultural use,Manage agricultural processes or tasks,Agriculture and animals,"Prepare land for agricultural production. Select appropriate tools, machinery, or vehicles, and follow agricultural standards and practices to undertake tasks such as clearing debris, tilling soil and applying fertilisers and other organic matter. Adhere to relevant work health and safety standards and comply with biosecurity protocols."
"Apply substances to plants, soil, or surfaces for protection or to enhance growth","Planting, irrigating or landscaping",Agriculture and animals,"Apply pesticides, herbicides, fertilisers or other substances to plants, soil, or surfaces to protect plants from pests, diseases, or weeds, or to promote their growth and development. Consider factors such as dosage, timing, and application methods to achieve optimal results while minimising risks. Comply with safety protocols and environmental regulations when handling and applying chemicals."
Control plant pests or diseases,"Planting, irrigating or landscaping",Agriculture and animals,"Identify plant pests or diseases that threaten plant health, longevity and productivity, and the extent of this threat through observation, monitoring, or laboratory analysis. Select and apply appropriate integrated pest management strategies such as physical, biological, and chemical control methods to control pests and diseases while ensuring safety to self, others and the environment. Monitor results and adjust methods as necessary."
"Cultivate and maintain lawns, plants and gardens","Planting, irrigating or landscaping",Agriculture and animals,"Support the health, longevity and appearance of lawns, plants and gardens through watering, fertilising, soil improvement, pruning or mowing and weeding."
Design and plan outdoor layouts,"Planting, irrigating or landscaping",Agriculture and animals,"Design visually appealing and functional outdoor areas featuring soft-scaping and hardscaping components keeping in mind budget, accessibility, aesthetics, timeframes, and client needs. Identify the materials and labour required, and the steps to realise the design objective."
"Irrigate lawns, trees or plants","Planting, irrigating or landscaping",Agriculture and animals,"Deliver a suitable amount of water to plants, shrubs and trees using irrigation systems. Consider the soil moisture levels, plant requirements, regulations, and environmental conditions to determine irrigation scheduling and prevent waste."
"Plant crops, trees or other plants","Planting, irrigating or landscaping",Agriculture and animals,"Transplant or sow seeds for crops, trees or other plants while safely using appropriate manual and powered tools, equipment, and machinery. Consider factors such as soil preparation, climate, spacing, and plant requirements to promote healthy and productive growth. Wear appropriate personal protective equipment."
Plant greenery to improve landscape appearance,"Planting, irrigating or landscaping",Agriculture and animals,"Select and plant greenery such as flowers, trees, or shrubs to enhance the environment or appearance of a landscaped area. Install plants according to design specifications and plant or client needs. Consider existing structures, colour schemes, plant characteristics and ensure proper placement and spacing to support plant health and achieve aesthetic improvement of the landscaped area. Wear appropriate personal protective equipment."
Prepare areas for landscape construction and set up landscape features,"Planting, irrigating or landscaping",Agriculture and animals,"Prepare land or areas for landscape construction projects by clearing, leveling, or excavating. Align work with design plans and use appropriate machinery, equipment, or tools. Install or repair necessary infrastructure, such as irrigation systems, drainage, or retaining walls. Assemble and/or install landscape features, such as pathways, decorative elements, or outdoor structures, according to design plans and other instructions."
Prune or trim trees or other vegetation,"Planting, irrigating or landscaping",Agriculture and animals,"Use hand and power tools to prune or trim trees, shrubs, and other vegetation to maintain plant health, ensure safety and/or support the appearance and health of the vegetation and broader cultivated environment. Follow industry standards, safety guidelines, and environmental considerations while performing trimming operations and use appropriate personal protective equipment."
Cut meat products,Process animal carcasses and meat,Agriculture and animals,"Use equipment such as knives, cleavers, or meat saws to safely cut, slice or trim carcasses, or meat products in accordance with industry standards to prepare them for further processing, or for sale and consumption by customers. Follow food safety and work health and safety regulations and wear appropriate personal protective equipment."
"Package meat, poultry or seafood",Process animal carcasses and meat,Agriculture and animals,"Prepare and package meat, poultry or seafood products for sale or distribution. Follow regulations and standards to label food items with relevant or required information, such as product type, name and description of food, identification of 'lot' number, name, and Australian street address of the supplier of food, ingredients and allergens, nutrition information panel, country of origin of food, date mark, expiry, weight, and any warning and advisory statements and declarations. Follow strict hygiene and safety guidelines and ensure items are stored at the correct temperature for freshness."
Prepare or process fish or seafood,Process animal carcasses and meat,Agriculture and animals,"Clean, cut, and process fish or seafood for sale, consumption or further processing. This may include removing scales, skin and bones, filleting, portioning. Follow strict hygiene and safety guidelines and ensure items are stored at the correct temperature for freshness. Follow food safety and work health and safety regulations and wear appropriate personal protective equipment."
Process animal carcasses,Process animal carcasses and meat,Agriculture and animals,"Break down and trim animal carcasses into primal cuts. Correctly position carcass and use equipment such as knives and saws. Maximise yield and maintain the quality of the product through correct handling, storage and cutting techniques. Comply with all work health and safety, food safety and biosecurity regulations and other relevant industry standards and regulations."
Remove skin or other body parts from animals,Process animal carcasses and meat,Agriculture and animals,"Remove skin, hair, hides, bones, fat and other body parts from animals using tools and procedures in accordance with industry health and safety standards, food processing standards, biosecurity and other relevant industry standards. Minimise waste and damage and ensure safety by using appropriate techniques and equipment."
Slaughter animals,Process animal carcasses and meat,Agriculture and animals,"Slaughter animals in accordance with animal welfare, industry, biosecurity, and health and safety standards. Appropriately use the correct tools and techniques to minimise suffering and maintain product quality."
"Clean, polish or apply protective coatings to produce",Produce and sell agricultural products,Agriculture and animals,"Clean produce by brushing, washing, or removing excess matter and apply protective or aesthetic finishes such as food grade wax in order to protect from damage and increase saleability."
Harvest agricultural products,Produce and sell agricultural products,Agriculture and animals,"Collect and store agricultural products at the optimum time of maturity or ripeness. Utilise appropriate tools, machinery, and techniques in accordance with health, safety and biosecurity requirements and to maintain product quality. Undertake to preserve the condition of the source and its immediate environment."
"Package or bundle agricultural products for shipment, sale, or further processing",Produce and sell agricultural products,Agriculture and animals,"Sort, pack, label and store agricultural products such as fruit, vegetables, and animal products in suitable bundles, packages, or containers to preserve the quality and integrity of products during transportation or prior to further processing or sale. Undertake this in accordance with industry standards, including workplace health and safety standards, labelling laws, and appropriate food safety standards."
Sell agricultural products,Produce and sell agricultural products,Agriculture and animals,"Engage with customers to sell agricultural products such as plants, livestock, fruits, and vegetables. Coordinate sales activities, negotiate prices and conditions of sales, handle customer inquiries, and maintain sales records. Ensure compliance with industry regulations and quality standards."
Assist with handling of horses,Provide animal care and training,Agriculture and animals,"Safely interact with horses using appropriate techniques, tack, and other equipment. Utilise understanding of horse behaviour in support of their care, management, and safety. Provide assistance with grooming, feeding, exercising, and transportation of horses. Enact industry standard techniques to avoid hazards, ensure the safety of humans and ensure animal welfare."
Brand or tag livestock,Provide animal care and training,Agriculture and animals,"Earmark, tag, or brand livestock using methods such as the attachment of radiofrequency identification device (RFID) or other tags, rumen implants, freeze branding or hot-iron branding to provide individual identification and a method to trace livestock in order to support activities such as livestock management, disease control, food safety and international trade."
Care for animals,Provide animal care and training,Agriculture and animals,"Provide for the physical and emotional wellbeing of animals, attending to their needs with compassion and care. For example, attend to their feeding, watering, grooming, exercise, play, attention, and medical requirements."
Check physical condition of people or animals,Provide animal care and training,Agriculture and animals,"Check the physical condition and well-being of individuals or animals. Observe for signs of injury, illness, or distress and document relevant findings. Use suitable tools, techniques, and diagnostic skills to accurately evaluate and determine the necessary course of action, such as providing first aid, or referring for medical treatment or further evaluation."
Comply with industry animal welfare requirements,Provide animal care and training,Agriculture and animals,"Apply industry standards, guidelines and regulations concerning animal welfare, health, and safety in the course of handling, transporting, or managing animals and undertaking animal husbandry activities. Ensure interaction with animals is undertaken in an ethical manner to promote and preserve animal well-being."
Handle and safely restrain animals for grooming or shearing,Provide animal care and training,Agriculture and animals,"Safely handle and move animals into a suitable position to be groomed or clipped, in order to ensure the comfort and safety of animals as well as the effectiveness of grooming processes. Use the correct restraints, handling techniques and appropriate personal protective equipment for the animal and the task at hand. Ensure compliance with animal welfare standards at all times."
Monitor health or behaviour of animals,Provide animal care and training,Agriculture and animals,"Observe and monitor the well-being, behaviour, and actions of animals in agricultural, conservation, handling, husbandry, or veterinary settings, checking for any signs of distress, illness, or injury. Intervene or seek veterinary assistance when necessary to ensure animal welfare."
Muster and move livestock,Provide animal care and training,Agriculture and animals,"Locate and move livestock in order to undertake animal husbandry tasks - for example to facilitate access to feed, for milking, or for shearing, in accordance with animal welfare policies and in a manner that minimises stress to livestock. This may include the use of dogs, horses, or vehicles; working as part of a team; or confining and counting livestock to record numbers."
Prepare and distribute food and water for animals,Provide animal care and training,Agriculture and animals,"Prepare and provide water, food, and supplements in order to meet an animal’s nutritional needs, feeding requirements, or in accordance with an organisation's policies and procedures. Ensure that food and water supply is maintained by checking and monitoring availability levels."
Research livestock management methods,Provide animal care and training,Agriculture and animals,"Research livestock management methods in order to increase understanding or inform or improve practices relating to animal care and husbandry. It may involve tasks such as undertaking desktop research or literature review, undertaking data analysis or modelling, conducting field studies or making observations, and conducting analysis. Consider ethical and environmental impacts of research, select appropriate methodologies, analyse findings, and report outcomes and implications."
Train animals,Provide animal care and training,Agriculture and animals,"Train animals for purposes including conservation and rehabilitation, racing, performance, riding, security or obedience. Use evidence-based training methods to encourage or discourage specific behaviours and capabilities. Ensure compliance with health and safety requirements and animal welfare standards. Adjust approach to training depending on the needs and characteristics of individual animals and the training objectives."
"Trim, shear or remove wool, fleece or hair from animals",Provide animal care and training,Agriculture and animals,"Shear or trim hair, fur, fleece, or wool from livestock or household pets such as sheep, goats, or dogs. Safely use manual and power tools such as clippers, scissors, and combs. Maintain animal welfare and minimise stress by using techniques appropriate for the animal and its needs. Use appropriate personal protective equipment and maintain hygiene standards."
Undertake milking of livestock procedures,Provide animal care and training,Agriculture and animals,"Milk livestock, including preparing livestock for milking by washing and cleaning udders and assisting livestock to move into position in accordance with animal welfare standards. Use milking machines or manual techniques to perform milking while monitoring livestock health and condition and ensuring that livestock is not over-milked, and other food safety requirements are adhered to."
Classify organisms based on their characteristics or behaviour,Study characteristics or behaviour of organisms,Agriculture and animals,"Categorise and classify organisms, such as plants or animals, based on their distinct characteristics, morphology, or behaviour. Apply taxonomic principles and classification systems to assign organisms to or locate them within appropriate groups or categories. Use knowledge and observation to accurately identify and classify various species and breeds."
Examine characteristics or behaviour of living organisms,Study characteristics or behaviour of organisms,Agriculture and animals,"Observe and study the characteristics, traits, or behaviour of living organisms, such as microorganisms, plants, or animals. Use scientific methods, field observations, or laboratory techniques to gather data and analyse patterns or trends to increase understanding of characteristics, ecological dynamics, biological processes, or species interactions. This may also include identifying problems or suggesting solutions."
Capture or kill animals,"Trap, capture or kill animals",Agriculture and animals,"Engage in the capture and or killing of target animals in a safe and humane manner in accordance with regulations and industry standards. Use appropriate tools, traps, restraints, and techniques, taking care to minimise animal stress and suffering. Wear appropriate personal protective equipment."
Locate animals for fishing or hunting purposes,"Trap, capture or kill animals",Agriculture and animals,"Use knowledge of animal behaviour and characteristics as well as indicators such as prints, droppings and environmental impact to locate animals for hunting and fishing. Ensure alignment with ethical and legal requirements at all times."
Plan trapping or hunting activities,"Trap, capture or kill animals",Agriculture and animals,"Develop a plan or procedure to hunt or trap target animals. Take into account the behaviour, characteristics and preferences of the target animal, the size and characteristics of the target area, suitable equipment and techniques and how to minimise risk, harm, or suffering. Also consider how to minimise adverse impact on non-target animals and the environment. Ensure plan takes into account and aligns with all legal requirements, animal welfare standards, industry standards, and best practice."
Position animal trapping or capture equipment,"Trap, capture or kill animals",Agriculture and animals,"Position equipment in suitable areas to trap or capture target animals. Take into account the behaviour, characteristics and preferences of the target animal, the equipment and techniques available for use, and how to minimise risks, harm, or suffering. Also consider how to minimise adverse impact on non-target animals and the environment. Place equipment to trap or capture target animals in a manner compliant with legislation, best practice, animal welfare and other industry requirements."
Collect eggs and place in incubators,"Treat animal injuries or illnesses, perform breeding procedures",Agriculture and animals,"Collect eggs and transfer to incubator. Ensure eggs are rotated frequently and the incubator’s temperature, airflow and humidity are maintained at the required conditions according to the egg's developmental stage in order to hatch healthy offspring."
"Examine animals to detect illness, injury or other problems","Treat animal injuries or illnesses, perform breeding procedures",Agriculture and animals,"Identify signs of injury, illness, and other health issues in animals. Using knowledge of the behaviours and physical characteristics of animals, draw on methods such as observation, physical examination, medical imaging and testing to determine health issues and inform treatment options or need for referral. Handle animals safely and in accordance with animal welfare guidelines. Use appropriate personal protective equipment."
